Jour,Gare (départ),Gare (arrivée),Arrivée (réelle),Arrivée (prévue),Départ (prévu),Retard (min),Cause
09-03-2023,Bâle - SBB,Mulhouse-Ville,00:38:00,00:33:00,23:38:00,5,Embouteillage
10-03-2023,Frankfurt am Main - Hauptbahnhof,Paris Est,09:58:00,09:53:00,05:47:00,5,Incident sur un réseau ferré étranger
09-03-2023,Douai,Valenciennes,21:48:00,21:13:00,19:24:00,35,Embouteillage
10-03-2023,Orléans,Paris Austerlitz,07:11:00,07:06:00,06:03:00,5,Difficultés lors de la préparation du train
09-03-2023,Strasbourg,Molsheim,19:47:00,19:42:00,19:18:00,5,Réutilisation d'un train
09-03-2023,Saint-André-le-Gaz,Grenoble,10:11:00,10:06:00,09:10:00,5,Régulation du trafic
09-03-2023,Nantes,La Rochelle,21:45:00,21:40:00,19:35:00,5,Réutilisation d'un train
09-03-2023,Metz Ville,Nancy,15:45:00,15:40:00,14:58:00,5,Travaux sur les voies
09-03-2023,Bar-le-Duc,Toul,11:16:00,10:31:00,09:14:00,45,Embouteillage
09-03-2023,Luxembourg (CFL),Longwy,17:14:00,17:09:00,16:34:00,5,Incident sur un réseau ferré étranger
09-03-2023,La Bresse - Place du Champtel,Remiremont,18:55:00,18:50:00,17:47:00,5,Embouteillage
09-03-2023,Annecy,Chambéry - Challes-les-Eaux,19:05:00,19:00:00,18:00:00,5,Embouteillage
09-03-2023,Belfort-Ville,Vesoul,08:31:00,08:21:00,07:35:00,10,Réutilisation d'un train
09-03-2023,Dunkerque,Calais Ville,08:01:00,07:46:00,07:03:00,15,Indisponibilité d'un matériel
09-03-2023,Chambéry - Challes-les-Eaux,Bourg-Saint-Maurice,21:26:00,21:21:00,18:35:00,5,Embouteillage
09-03-2023,Tournai,Lille Flandres,14:02:00,13:52:00,13:22:00,10,Incident sur un réseau ferré étranger
09-03-2023,Douai,Valenciennes,21:48:00,21:13:00,19:24:00,35,Embouteillage
09-03-2023,Saint-André-le-Gaz,Grenoble,10:11:00,10:06:00,09:10:00,5,Régulation du trafic
09-03-2023,Grenoble - gare Routière,Chambéry - Challes-les-Eaux,12:04:00,11:49:00,09:50:00,15,Embouteillage
